nbCamions 535
Id_truck Number_of_suppliers Supplier_code
0 1 5
1 1 5
2 1 5
3 1 15
4 1 5
5 3 10 9 12
6 1 5
7 1 5
8 1 5
9 1 5
10 1 5
11 1 5
12 1 5
13 1 5
14 1 5
15 1 5
16 1 5
17 1 2
18 1 5
19 1 5
20 1 5
21 1 5
22 1 5
23 1 5
24 4 8 16 7 14
25 1 5
26 1 5
27 1 5
28 1 5
29 1 5
30 1 5
31 1 8
32 1 5
33 1 10
34 1 5
35 1 5
36 1 5
37 1 15
38 1 5
39 1 5
40 1 5
41 1 5
42 1 5
43 1 5
44 1 5
45 1 5
46 1 5
47 1 5
48 1 5
49 1 5
50 1 15
51 1 18
52 1 5
53 1 5
54 1 5
55 1 5
56 1 5
57 1 5
58 1 5
59 1 5
60 1 5
61 1 5
62 1 6
63 1 11
64 1 15
65 1 5
66 1 5
67 1 5
68 1 5
69 1 15
70 1 5
71 1 5
72 1 5
73 1 5
74 1 5
75 1 5
76 1 5
77 1 5
78 1 5
79 1 5
80 1 15
81 1 5
82 3 6 3 4
83 1 5
84 1 5
85 2 11 13
86 1 5
87 1 5
88 1 5
89 1 5
90 1 5
91 1 5
92 1 5
93 1 5
94 1 5
95 1 5
96 1 15
97 1 5
98 1 5
99 1 5
100 1 5
101 1 5
102 1 5
103 1 5
104 1 5
105 1 5
106 1 5
107 1 11
108 1 5
109 1 5
110 1 5
111 1 5
112 1 5
113 2 6 3
114 3 6 3 4
115 1 5
116 1 5
117 1 5
118 1 5
119 1 5
120 1 5
121 1 5
122 1 2
123 1 5
124 1 2
125 1 5
126 1 5
127 1 5
128 1 5
129 1 5
130 4 8 16 7 14
131 1 5
132 3 10 9 12
133 1 5
134 1 5
135 1 5
136 1 5
137 1 5
138 1 5
139 1 5
140 1 5
141 1 5
142 1 5
143 1 5
144 1 5
145 1 5
146 1 5
147 1 5
148 1 5
149 3 6 3 4
150 1 5
151 1 5
152 1 5
153 1 5
154 1 5
155 3 10 9 12
156 1 1
157 1 5
158 4 8 16 7 14
159 1 5
160 1 5
161 1 5
162 1 18
163 2 11 13
164 1 5
165 1 5
166 1 5
167 3 10 9 12
168 4 8 16 7 14
169 1 15
170 1 5
171 1 2
172 1 5
173 1 5
174 1 5
175 1 5
176 1 5
177 1 5
178 1 5
179 1 5
180 1 5
181 1 5
182 1 5
183 1 5
184 1 5
185 1 5
186 1 5
187 1 5
188 1 5
189 1 5
190 1 5
191 1 5
192 1 5
193 1 5
194 1 5
195 1 6
196 1 5
197 1 5
198 1 5
199 1 5
200 1 5
201 4 8 16 7 14
202 1 5
