nbCamions 237
Id_truck Arrival_time Length Width Height Max_weight Cost
0 45 145 24 28 30000 1500
1 3 150 25 30 24000 1500
2 3 150 25 30 24000 1500
3 15 150 25 30 24000 1500
4 15 150 25 30 24000 1500
5 52 150 25 30 24000 1500
6 11 150 25 30 24000 1500
7 50 145 24 28 30000 1500
8 28 150 25 30 24000 1500
9 35 150 25 30 24000 1500
10 24 150 25 30 24000 1500
11 37 150 25 30 24000 1500
12 29 150 25 30 24000 1500
13 29 150 25 30 24000 1500
14 7 135 26 29 24000 1500
15 49 150 25 30 24000 1500
16 53 150 25 30 24000 1500
17 38 150 25 30 24000 1500
18 63 135 26 29 24000 1500
19 43 150 25 30 24000 1500
20 52 150 25 30 24000 1500
21 7 150 25 30 24000 1500
22 51 150 25 30 24000 1500
23 21 150 25 30 24000 1500
24 53 150 25 30 24000 1500
25 56 150 25 30 24000 1500
26 14 150 25 30 24000 1500
27 56 135 26 29 24000 1500
28 35 135 26 29 24000 1500
29 31 145 24 28 30000 1500
30 43 150 25 30 24000 1500
31 15 150 25 30 24000 1500
32 25 150 25 30 24000 1500
33 25 150 25 30 24000 1500
34 46 150 25 30 24000 1500
35 38 150 25 30 24000 1500
36 30 150 25 30 24000 1500
37 49 150 25 30 24000 1500
38 24 150 25 30 24000 1500
39 17 145 24 28 30000 1500
40 46 150 25 30 24000 1500
41 53 150 25 30 24000 1500
42 22 145 24 28 30000 1500
43 2 150 25 30 24000 1500
44 59 145 24 28 30000 1500
45 4 150 25 30 24000 1500
46 18 150 25 30 24000 1500
47 42 150 25 30 24000 1500
48 63 150 25 30 24000 1500
49 4 150 25 30 24000 1500
50 58 150 25 30 24000 1500
51 21 150 25 30 24000 1500
52 51 150 25 30 24000 1500
53 57 150 25 30 24000 1500
54 14 135 26 29 24000 1500
55 56 150 25 30 24000 1500
56 43 150 25 30 24000 1500
57 28 150 25 30 24000 1500
58 60 150 25 30 24000 1500
59 15 150 25 30 24000 1500
60 59 135 26 29 24000 1500
61 15 150 25 30 24000 1500
62 4 150 25 30 24000 1500
63 39 150 25 30 24000 1500
64 24 150 25 30 24000 1500
65 24 150 25 30 24000 1500
66 42 150 25 30 24000 1500
67 7 135 26 29 24000 1500
68 45 150 25 30 24000 1500
69 21 145 24 28 30000 1500
70 30 150 25 30 24000 1500
71 23 150 25 30 24000 1500
72 32 150 25 30 24000 1500
73 63 145 24 28 30000 1500
74 28 135 26 29 24000 1500
75 10 150 25 30 24000 1500
76 49 145 24 28 30000 1500
77 31 135 26 29 24000 1500
78 46 150 25 30 24000 1500
79 46 150 25 30 24000 1500
80 7 150 25 30 24000 1500
81 16 150 25 30 24000 1500
82 8 150 25 30 24000 1500
83 8 150 25 30 24000 1500
84 58 150 25 30 24000 1500
85 25 150 25 30 24000 1500
86 63 150 25 30 24000 1500
87 53 150 25 30 24000 1500
88 52 150 25 30 24000 1500
89 52 150 25 30 24000 1500
90 17 150 25 30 24000 1500
91 39 150 25 30 24000 1500
92 39 150 25 30 24000 1500
93 37 150 25 30 24000 1500
94 30 150 25 30 24000 1500
95 23 150 25 30 24000 1500
96 14 150 25 30 24000 1500
97 28 150 25 30 24000 1500
98 32 150 25 30 24000 1500
99 35 150 25 30 24000 1500
100 38 145 24 28 30000 1500
101 52 135 26 29 24000 1500
102 56 150 25 30 24000 1500
103 11 150 25 30 24000 1500
104 7 150 25 30 24000 1500
105 10 150 25 30 24000 1500
106 37 150 25 30 24000 1500
107 8 150 25 30 24000 1500
108 14 135 26 29 24000 1500
109 43 150 25 30 24000 1500
110 43 150 25 30 24000 1500
111 36 145 24 28 30000 1500
112 63 150 25 30 24000 1500
113 42 145 24 28 30000 1500
114 60 150 25 30 24000 1500
115 24 135 26 29 24000 1500
116 35 135 26 29 24000 1500
117 58 150 25 30 24000 1500
118 9 150 25 30 24000 1500
119 49 150 25 30 24000 1500
120 7 145 24 28 30000 1500
121 36 150 25 30 24000 1500
122 36 150 25 30 24000 1500
123 31 150 25 30 24000 1500
124 29 145 24 28 30000 1500
125 15 145 24 28 30000 1500
126 17 150 25 30 24000 1500
127 42 135 26 29 24000 1500
128 56 150 25 30 24000 1500
129 32 150 25 30 24000 1500
130 35 150 25 30 24000 1500
131 14 150 25 30 24000 1500
132 22 150 25 30 24000 1500
133 21 150 25 30 24000 1500
134 59 150 25 30 24000 1500
135 35 150 25 30 24000 1500
136 16 150 25 30 24000 1500
137 32 150 25 30 24000 1500
138 8 150 25 30 24000 1500
139 10 150 25 30 24000 1500
140 10 150 25 30 24000 1500
141 45 150 25 30 24000 1500
142 8 150 25 30 24000 1500
143 45 150 25 30 24000 1500
144 9 150 25 30 24000 1500
145 28 135 26 29 24000 1500
146 50 150 25 30 24000 1500
147 50 150 25 30 24000 1500
148 53 150 25 30 24000 1500
149 10 135 26 29 24000 1500
150 60 150 25 30 24000 1500
151 60 150 25 30 24000 1500
152 52 145 24 28 30000 1500
153 45 150 25 30 24000 1500
154 17 150 25 30 24000 1500
155 17 150 25 30 24000 1500
156 56 145 24 28 30000 1500
157 18 150 25 30 24000 1500
158 42 150 25 30 24000 1500
159 18 150 25 30 24000 1500
160 14 150 25 30 24000 1500
161 56 150 25 30 24000 1500
162 39 150 25 30 24000 1500
163 31 150 25 30 24000 1500
164 31 150 25 30 24000 1500
165 21 150 25 30 24000 1500
166 23 150 25 30 24000 1500
167 22 150 25 30 24000 1500
168 22 150 25 30 24000 1500
169 16 150 25 30 24000 1500
170 24 145 24 28 30000 1500
171 57 145 24 28 30000 1500
172 44 150 25 30 24000 1500
173 59 150 25 30 24000 1500
174 49 150 25 30 24000 1500
175 50 150 25 30 24000 1500
176 11 150 25 30 24000 1500
177 21 135 26 29 24000 1500
178 46 150 25 30 24000 1500
179 63 135 26 29 24000 1500
180 42 135 26 29 24000 1500
181 38 135 26 29 24000 1500
182 36 150 25 30 24000 1500
183 11 150 25 30 24000 1500
184 29 150 25 30 24000 1500
185 18 150 25 30 24000 1500
186 25 150 25 30 24000 1500
187 36 150 25 30 24000 1500
188 21 150 25 30 24000 1500
189 8 145 24 28 30000 1500
190 49 135 26 29 24000 1500
191 60 150 25 30 24000 1500
192 50 150 25 30 24000 1500
193 28 150 25 30 24000 1500
194 45 135 26 29 24000 1500
195 18 150 25 30 24000 1500
196 28 145 24 28 30000 1500
197 57 150 25 30 24000 1500
198 50 150 25 30 24000 1500
199 42 150 25 30 24000 1500
200 44 150 25 30 24000 1500
201 7 150 25 30 24000 1500
202 49 150 25 30 24000 1500
203 51 150 25 30 24000 1500
204 32 150 25 30 24000 1500
205 14 145 24 28 30000 1500
206 22 150 25 30 24000 1500
207 9 150 25 30 24000 1500
208 7 150 25 30 24000 1500
209 35 150 25 30 24000 1500
210 25 150 25 30 24000 1500
211 10 145 24 28 30000 1500
212 38 150 25 30 24000 1500
213 38 150 25 30 24000 1500
214 22 150 25 30 24000 1500
215 63 150 25 30 24000 1500
216 36 150 25 30 24000 1500
217 11 150 25 30 24000 1500
218 29 150 25 30 24000 1500
219 56 135 26 29 24000 1500
220 49 135 26 29 24000 1500
221 31 150 25 30 24000 1500
222 29 150 25 30 24000 1500
223 42 150 25 30 24000 1500
224 43 145 24 28 30000 1500
225 4 150 25 30 24000 1500
226 14 150 25 30 24000 1500
227 63 150 25 30 24000 1500
228 39 150 25 30 24000 1500
229 35 145 24 28 30000 1500
230 44 150 25 30 24000 1500
231 17 135 26 29 24000 1500
232 57 150 25 30 24000 1500
233 57 150 25 30 24000 1500
234 28 150 25 30 24000 1500
235 21 135 26 29 24000 1500
236 59 150 25 30 24000 1500
