nbObjets 2318
Id_item Supplier_code Length Width Height Weight Stackability_code Earliest_arrival_time Latest_arrival_time Inventory_cost
0 11 12 10 9 710 4 35 38 80
1 12 12 10 3 144 3 26 29 510
2 11 12 10 9 716 4 30 34 60
3 12 12 10 3 128 3 40 43 340
4 40 12 10 3 322 3 27 30 210
5 12 12 10 3 46 3 14 17 400
6 43 12 10 9 261 4 24 28 180
7 41 16 12 9 480 5 41 44 100
8 25 12 10 3 45 7 31 35 6880
9 15 12 10 9 810 4 22 23 250
10 19 12 10 9 344 4 20 23 90
11 12 12 10 3 51 3 9 13 330
12 40 12 10 5 300 3 1 7 160
13 10 12 10 9 372 4 23 27 30
14 25 12 10 3 21 7 38 42 2100
15 9 12 10 3 127 3 45 47 200
16 24 12 10 5 141 3 24 28 1200
17 31 12 10 9 255 4 29 33 2490
18 19 12 10 9 344 4 24 28 90
19 29 12 10 9 201 4 6 9 110
20 40 12 10 3 310 3 20 23 420
21 13 12 10 11 627 3 21 24 190
22 26 12 10 9 937 4 41 44 300
23 12 12 10 3 160 3 19 22 680
24 12 12 10 5 260 3 42 45 260
25 4 12 10 9 395 4 36 40 130
26 11 12 10 9 537 4 30 34 60
27 43 7 5 4 152 6 17 21 30
28 40 12 10 5 300 3 22 26 160
29 12 12 10 7 359 3 33 36 390
30 11 12 10 9 981 4 40 43 60
31 34 12 10 9 153 4 22 26 20
32 11 12 10 9 537 4 40 43 60
33 43 7 5 4 366 6 38 42 50
34 6 12 10 9 248 4 1 1 50
35 1 12 10 11 149 2 29 33 80
36 11 12 10 9 611 4 16 20 70
37 16 12 10 9 169 3 6 7 2750
38 36 12 10 9 885 4 10 12 260
39 26 12 10 9 937 4 17 21 300
40 10 12 10 9 587 4 5 8 80
41 2 12 10 9 720 4 29 33 710
42 12 12 10 9 473 3 43 47 390
43 29 12 10 9 201 4 42 45 110
44 41 16 12 9 482 5 35 38 100
45 13 12 10 6 521 3 5 8 410
46 10 12 10 9 587 4 13 16 80
47 19 12 10 9 288 4 1 7 70
48 4 12 10 9 436 4 43 47 140
49 13 12 10 9 231 4 1 6 650
50 10 12 10 7 518 4 36 40 50
51 12 12 10 7 380 3 35 38 390
52 41 16 12 9 503 5 20 23 150
53 12 12 10 3 113 3 1 6 1020
54 14 12 10 7 981 4 35 38 120
55 14 7 5 4 536 6 42 45 80
56 1 11 9 8 126 8 5 8 190
57 10 12 10 9 410 4 36 40 40
58 12 12 10 11 569 3 37 41 200
59 29 12 10 9 185 4 37 41 40
60 24 12 10 3 81 3 24 28 1520
61 36 12 10 9 885 4 1 5 260
62 30 12 10 8 1139 1 24 28 110
63 34 12 10 9 153 4 1 6 20
64 42 12 10 9 715 4 20 23 270
65 10 12 10 9 372 4 38 42 30
66 10 12 10 9 410 4 8 12 40
67 10 12 10 7 518 4 6 9 50
68 10 12 10 9 768 4 40 43 80
69 25 12 10 3 84 7 38 42 8080
70 11 12 10 9 716 4 41 44 60
71 30 12 10 8 1139 1 38 42 110
72 40 12 10 3 160 3 37 41 80
73 35 12 10 8 1523 1 29 33 240
74 11 12 10 9 537 4 27 30 60
75 12 12 10 3 40 3 43 47 220
76 4 12 10 9 488 4 13 16 170
